Timestamp,Model,Tokens,Cost
2025-07-03T12:10:53.747823,euriai,300,0.00075
2025-07-03T12:28:56.335175,euriai,300,0.00075
2025-07-03T12:41:47.980486,euriai,300,0.00075
2025-07-03T12:45:31.144741,euriai,300,0.00075
2025-07-03T12:54:30.891861,euriai,300,0.00075
2025-07-03T13:55:12.950190,euriai,300,0.00075
2025-07-03T13:58:36.113207,euriai,300,0.00075
2025-07-03T13:59:51.598554,euriai,300,0.00075
2025-07-03T14:02:17.691246,euriai,300,0.00075
2025-07-03T14:08:06.218047,euriai,300,0.00075
2025-07-03T14:13:37.354418,euriai,300,0.00075
2025-07-03T14:17:27.179432,euriai,300,0.00075
2025-07-03T14:17:49.839316,euriai,300,0.00075
2025-07-03T14:18:08.263197,euriai,300,0.00075
2025-07-03T14:18:26.152441,euriai,300,0.00075
2025-07-03T14:18:33.384805,euriai,300,0.00075
2025-07-03T14:18:35.718008,euriai,300,0.00075
2025-07-03T14:18:39.154557,euriai,300,0.00075
2025-07-03T14:25:13.152951,euriai,300,0.00075
